jurisdiction,state,county
EAST BRADFORD TOWNSHIP,PA,CHESTER COUNTY
EAST BRANDYWINE TOWNSHIP,PA,CHESTER COUNTY
EAST BUTLER BOROUGH,PA,BUTLER COUNTY
EAST CALN TOWNSHIP,PA,CHESTER COUNTY
EAST CARROLL TOWNSHIP,PA,CAMBRIA COUNTY
EAST COCALICO TOWNSHIP,PA,LANCASTER COUNTY
EAST CONEMAUGH BOROUGH,PA,CAMBRIA COUNTY
EAST COVENTRY TOWNSHIP,PA,CHESTER COUNTY
EAST DEER TOWNSHIP,PA,ALLEGHENY COUNTY
EAST DONEGAL TOWNSHIP,PA,LANCASTER COUNTY
EAST DRUMORE TOWNSHIP,PA,LANCASTER COUNTY
EAST EARL TOWNSHIP,PA,LANCASTER COUNTY
EAST FALLOWFIELD TOWNSHIP,PA,CHESTER COUNTY
EAST FINLEY TOWNSHIP,PA,WASHINGTON COUNTY
EAST FRANKLIN TOWNSHIP,PA,ARMSTRONG COUNTY
EAST GOSHEN TOWNSHIP,PA,CHESTER COUNTY
EAST GREENVILLE BOROUGH,PA,MONTGOMERY COUNTY
EAST HANOVER TOWNSHIP,PA,DAUPHIN COUNTY
EAST HANOVER TOWNSHIP,PA,LEBANON COUNTY
EAST HEMPFIELD TOWNSHIP,PA,LANCASTER COUNTY
EAST HOPEWELL TOWNSHIP,PA,YORK COUNTY
EAST HUNTINGDON TOWNSHIP,PA,WESTMORELAND COUNTY
EAST LACKAWANNOCK TOWNSHIP,PA,MERCER COUNTY
EAST LAMPETER TOWNSHIP,PA,LANCASTER COUNTY
EAST LANSDOWNE BOROUGH,PA,DELAWARE COUNTY
EAST MANCHESTER TOWNSHIP,PA,YORK COUNTY
EAST MARLBOROUGH TOWNSHIP,PA,CHESTER COUNTY
EAST MCKEESPORT BOROUGH,PA,ALLEGHENY COUNTY
EAST NANTMEAL TOWNSHIP,PA,CHESTER COUNTY
EAST NORRITON TOWNSHIP,PA,MONTGOMERY COUNTY
EAST NOTTINGHAM TOWNSHIP,PA,CHESTER COUNTY
EAST PENN TOWNSHIP,PA,CARBON COUNTY
EAST PENNSBORO TOWNSHIP,PA,CUMBERLAND COUNTY
EAST PETERSBURG BOROUGH,PA,LANCASTER COUNTY
EAST PIKELAND TOWNSHIP,PA,CHESTER COUNTY
EAST PITTSBURGH BOROUGH,PA,ALLEGHENY COUNTY
EAST PROSPECT BOROUGH,PA,YORK COUNTY
EAST ROCHESTER BOROUGH,PA,BEAVER COUNTY
EAST ROCKHILL TOWNSHIP,PA,BUCKS COUNTY
EAST SIDE BOROUGH,PA,CARBON COUNTY
EAST STROUDSBURG BOROUGH,PA,MONROE COUNTY
EAST TAYLOR TOWNSHIP,PA,CAMBRIA COUNTY
EAST VANDERGRIFT BOROUGH,PA,WESTMORELAND COUNTY
EAST VINCENT TOWNSHIP,PA,CHESTER COUNTY
EAST WASHINGTON BOROUGH,PA,WASHINGTON COUNTY
EAST WHITELAND TOWNSHIP,PA,CHESTER COUNTY
EASTON,PA,NORTHAMPTON COUNTY
EASTTOWN TOWNSHIP,PA,CHESTER COUNTY
EASTVALE BOROUGH,PA,BEAVER COUNTY
EATON TOWNSHIP,PA,WYOMING COUNTY
EAU CLAIRE BOROUGH,PA,BUTLER COUNTY
EBENSBURG BOROUGH,PA,CAMBRIA COUNTY
ECONOMY BOROUGH,PA,BEAVER COUNTY
EDDYSTONE BOROUGH,PA,DELAWARE COUNTY
EDEN TOWNSHIP,PA,LANCASTER COUNTY
EDGEMONT TOWNSHIP,PA,DELAWARE COUNTY
EDGEWOOD BOROUGH,PA,ALLEGHENY COUNTY
EDGEWORTH BOROUGH,PA,ALLEGHENY COUNTY
EDGMONT TOWNSHIP,PA,DELAWARE COUNTY
EDINBORO BOROUGH,PA,ERIE COUNTY
EDWARDSVILLE BOROUGH,PA,LUZERNE COUNTY
EHRENFELD BOROUGH,PA,CAMBRIA COUNTY
ELCO BOROUGH,PA,WASHINGTON COUNTY
ELDER TOWNSHIP,PA,CAMBRIA COUNTY
ELDERTON BOROUGH,PA,ARMSTRONG COUNTY
ELDRED TOWNSHIP,PA,LYCOMING COUNTY
ELDRED TOWNSHIP,PA,MONROE COUNTY
ELGIN BOROUGH,PA,ERIE COUNTY
ELIZABETH BOROUGH,PA,ALLEGHENY COUNTY
ELIZABETH TOWNSHIP,PA,ALLEGHENY COUNTY
ELIZABETH TOWNSHIP,PA,LANCASTER COUNTY
ELIZABETHTOWN BOROUGH,PA,LANCASTER COUNTY
ELIZABETHVILLE BOROUGH,PA,DAUPHIN COUNTY
ELK CREEK TOWNSHIP,PA,ERIE COUNTY
ELK TOWNSHIP,PA,CHESTER COUNTY
ELLSWORTH BOROUGH,PA,WASHINGTON COUNTY
ELMHURST TOWNSHIP,PA,LACKAWANNA COUNTY
ELVERSON BOROUGH,PA,CHESTER COUNTY
EMMAUS BOROUGH,PA,LEHIGH COUNTY
EMSWORTH BOROUGH,PA,ALLEGHENY COUNTY
EPHRATA BOROUGH,PA,LANCASTER COUNTY
EPHRATA TOWNSHIP,PA,LANCASTER COUNTY
ERIE,PA,ERIE COUNTY
ETNA BOROUGH,PA,ALLEGHENY COUNTY
EVANS CITY BOROUGH,PA,BUTLER COUNTY
EXETER BOROUGH,PA,LUZERNE COUNTY
EXETER TOWNSHIP,PA,BERKS COUNTY
EXETER TOWNSHIP,PA,LUZERNE COUNTY
EXETER TOWNSHIP,PA,WYOMING COUNTY
EXPORT BOROUGH,PA,WESTMORELAND COUNTY
FACTORYVILLE BOROUGH,PA,WYOMING COUNTY
FAIRFIELD BOROUGH,PA,ADAMS COUNTY
FAIRFIELD TOWNSHIP,PA,LYCOMING COUNTY
FAIRFIELD TOWNSHIP,PA,WESTMORELAND COUNTY
FAIRVIEW BOROUGH,PA,BUTLER COUNTY
FAIRVIEW BOROUGH,PA,ERIE COUNTY
FAIRVIEW TOWNSHIP,PA,BUTLER COUNTY
FAIRVIEW TOWNSHIP,PA,ERIE COUNTY
FAIRVIEW TOWNSHIP,PA,LUZERNE COUNTY
FAIRVIEW TOWNSHIP,PA,MERCER COUNTY
FAIRVIEW TOWNSHIP,PA,YORK COUNTY
FALLOWFIELD TOWNSHIP,PA,WASHINGTON COUNTY
FALLS TOWNSHIP,PA,BUCKS COUNTY
FALLS TOWNSHIP,PA,WYOMING COUNTY
FALLSTON BOROUGH,PA,BEAVER COUNTY
FANNETT TOWNSHIP,PA,FRANKLIN COUNTY
FARRELL,PA,MERCER COUNTY
FAWN GROVE BOROUGH,PA,YORK COUNTY
FAWN TOWNSHIP,PA,ALLEGHENY COUNTY
FAWN TOWNSHIP,PA,YORK COUNTY
FAYETTE COUNTY UNINCORPORATED AREA,PA,FAYETTE COUNTY
FELL TOWNSHIP,PA,LACKAWANNA COUNTY
FELTON BOROUGH,PA,YORK COUNTY
FERGUSON TOWNSHIP,PA,CENTRE COUNTY
FERNDALE BOROUGH,PA,CAMBRIA COUNTY
FINDLAY TOWNSHIP,PA,ALLEGHENY COUNTY
FINDLEY TOWNSHIP,PA,MERCER COUNTY
FINLEYVILLE BOROUGH,PA,WASHINGTON COUNTY
FISHING CREEK TOWNSHIP,PA,COLUMBIA COUNTY
FLEETWOOD BOROUGH,PA,BERKS COUNTY
FOLCROFT BOROUGH,PA,DELAWARE COUNTY
FORD CITY BOROUGH,PA,ARMSTRONG COUNTY
FORD CLIFF BOROUGH,PA,ARMSTRONG COUNTY
FOREST HILLS BOROUGH,PA,ALLEGHENY COUNTY
FORKS TOWNSHIP,PA,NORTHAMPTON COUNTY
FORKSTON TOWNSHIP,PA,WYOMING COUNTY
FORTY FORT BOROUGH,PA,LUZERNE COUNTY
FORWARD TOWNSHIP,PA,ALLEGHENY COUNTY
FORWARD TOWNSHIP,PA,BUTLER COUNTY
FOSTER TOWNSHIP,PA,LUZERNE COUNTY
FOUNTAIN HILL BOROUGH,PA,LEHIGH COUNTY
FOWARD TOWNSHIP,PA,BUTLER COUNTY
FOX CHAPEL BOROUGH,PA,ALLEGHENY COUNTY
FRANCONIA TOWNSHIP,PA,MONTGOMERY COUNTY
FRANKFORT SPRINGS BOROUGH,PA,BEAVER COUNTY
FRANKLIN BOROUGH,PA,CAMBRIA COUNTY
FRANKLIN COUNTY UNINCORPORATED AREA,PA,FRANKLIN COUNTY
FRANKLIN PARK BOROUGH,PA,ALLEGHENY COUNTY
FRANKLIN TOWNSHIP,PA,BEAVER COUNTY
FRANKLIN TOWNSHIP,PA,BUTLER COUNTY
FRANKLIN TOWNSHIP,PA,CARBON COUNTY
FRANKLIN TOWNSHIP,PA,CHESTER COUNTY
FRANKLIN TOWNSHIP,PA,COLUMBIA COUNTY
FRANKLIN TOWNSHIP,PA,ERIE COUNTY
FRANKLIN TOWNSHIP,PA,LUZERNE COUNTY
FRANKLIN TOWNSHIP,PA,LYCOMING COUNTY
FRANKLIN TOWNSHIP,PA,YORK COUNTY
FRANKLINTOWN BOROUGH,PA,YORK COUNTY
FRANKSTOWN TOWNSHIP,PA,BLAIR COUNTY
FRAZER TOWNSHIP,PA,ALLEGHENY COUNTY
FREDONIA BOROUGH,PA,MERCER COUNTY
FREEDOM BOROUGH,PA,BEAVER COUNTY
FREEDOM TOWNSHIP,PA,BLAIR COUNTY
FREELAND BOROUGH,PA,LUZERNE COUNTY
FREEMANSBURG BOROUGH,PA,NORTHAMPTON COUNTY
FREEPORT BOROUGH,PA,ARMSTRONG COUNTY
FRENCH CREEK TOWNSHIP,PA,MERCER COUNTY
FULTON TOWNSHIP,PA,LANCASTER COUNTY
GALLITZIN BOROUGH,PA,CAMBRIA COUNTY
GALLITZIN TOWNSHIP,PA,CAMBRIA COUNTY
GAMBLE TOWNSHIP,PA,LYCOMING COUNTY
GEISTOWN BOROUGH,PA,CAMBRIA COUNTY
GEORGES TOWNSHIP,PA,FAYETTE COUNTY
GEORGETOWN BOROUGH,PA,BEAVER COUNTY
GILPIN TOWNSHIP,PA,ARMSTRONG COUNTY
GIRARD BOROUGH,PA,ERIE COUNTY
GIRARD TOWNSHIP,PA,ERIE COUNTY
GLASSPORT BOROUGH,PA,ALLEGHENY COUNTY
GLEN ROCK BOROUGH,PA,YORK COUNTY
GLENBURN TOWNSHIP,PA,LACKAWANNA COUNTY
GLENDON BOROUGH,PA,NORTHAMPTON COUNTY
GLENFIELD BOROUGH,PA,ALLEGHENY COUNTY
GLENOLDEN BOROUGH,PA,DELAWARE COUNTY
GOLDSBORO BOROUGH,PA,YORK COUNTY
GRATZ BOROUGH,PA,DAUPHIN COUNTY
GREEN LANE BOROUGH,PA,MONTGOMERY COUNTY
GREEN TREE BOROUGH,PA,ALLEGHENY COUNTY
GREENCASTLE BOROUGH,PA,FRANKLIN COUNTY
GREENE TOWNSHIP,PA,BEAVER COUNTY
GREENE TOWNSHIP,PA,ERIE COUNTY
GREENE TOWNSHIP,PA,FRANKLIN COUNTY
GREENE TOWNSHIP,PA,MERCER COUNTY
GREENE TOWNSHIP,PA,PIKE COUNTY
GREENFIELD TOWNSHIP,PA,BLAIR COUNTY
GREENFIELD TOWNSHIP,PA,ERIE COUNTY
GREENFIELD TOWNSHIP,PA,LACKAWANNA COUNTY
GREENSBURG,PA,WESTMORELAND COUNTY
GREENVILLE BOROUGH,PA,MERCER COUNTY
GREENWICH TOWNSHIP,PA,BERKS COUNTY
GREENWOOD TOWNSHIP,PA,COLUMBIA COUNTY
GREENWOOD TOWNSHIP,PA,PERRY COUNTY
GREGG TOWNSHIP,PA,CENTRE COUNTY
GROVE CITY BOROUGH,PA,MERCER COUNTY
GUILFORD TOWNSHIP,PA,FRANKLIN COUNTY
HAINES TOWNSHIP,PA,CENTRE COUNTY
HALFMOON TOWNSHIP,PA,CENTRE COUNTY
HALIFAX BOROUGH,PA,DAUPHIN COUNTY
HALIFAX TOWNSHIP,PA,DAUPHIN COUNTY
HALLAM BOROUGH,PA,YORK COUNTY
HAMBURG BOROUGH,PA,BERKS COUNTY
HAMILTON TOWNSHIP,PA,FRANKLIN COUNTY
HAMILTON TOWNSHIP,PA,MONROE COUNTY
HAMPDEN TOWNSHIP,PA,CUMBERLAND COUNTY
HAMPTON TOWNSHIP,PA,ALLEGHENY COUNTY
HANOVER BOROUGH,PA,YORK COUNTY
HANOVER TOWNSHIP,PA,BEAVER COUNTY
HANOVER TOWNSHIP,PA,LEHIGH COUNTY
HANOVER TOWNSHIP,PA,LUZERNE COUNTY
HANOVER TOWNSHIP,PA,NORTHAMPTON COUNTY
HANOVER TOWNSHIP,PA,WASHINGTON COUNTY
HARBORCREEK TOWNSHIP,PA,ERIE COUNTY
HARMAR TOWNSHIP,PA,ALLEGHENY COUNTY
HARMONY BOROUGH,PA,BUTLER COUNTY
HARMONY TOWNSHIP,PA,BEAVER COUNTY
HARRIS TOWNSHIP,PA,CENTRE COUNTY
HARRISBURG,PA,DAUPHIN COUNTY
HARRISON TOWNSHIP,PA,ALLEGHENY COUNTY
HARRISVILLE BOROUGH,PA,BUTLER COUNTY
HARVEYS LAKE BOROUGH,PA,LUZERNE COUNTY
HASTINGS BOROUGH,PA,CAMBRIA COUNTY
HATBORO BOROUGH,PA,MONTGOMERY COUNTY
HATFIELD BOROUGH,PA,MONTGOMERY COUNTY
HATFIELD TOWNSHIP,PA,MONTGOMERY COUNTY
HAVERFORD TOWNSHIP,PA,DELAWARE COUNTY
HAYCOCK TOWNSHIP,PA,BUCKS COUNTY
HAYSVILLE BOROUGH,PA,ALLEGHENY COUNTY
HAZLE TOWNSHIP,PA,LUZERNE COUNTY
HAZLETON,PA,LUZERNE COUNTY
HEIDELBERG BOROUGH,PA,ALLEGHENY COUNTY
HEIDELBERG TOWNSHIP,PA,BERKS COUNTY
HEIDELBERG TOWNSHIP,PA,LEBANON COUNTY
HEIDELBERG TOWNSHIP,PA,LEHIGH COUNTY
HEIDELBERG TOWNSHIP,PA,YORK COUNTY
HELLAM TOWNSHIP,PA,YORK COUNTY
HELLERTOWN BOROUGH,PA,NORTHAMPTON COUNTY
HEMLOCK TOWNSHIP,PA,COLUMBIA COUNTY
HEMPFIELD TOWNSHIP,PA,MERCER COUNTY
HEMPFIELD TOWNSHIP,PA,WESTMORELAND COUNTY
HENRY CLAY TOWNSHIP,PA,FAYETTE COUNTY
HEPBURN TOWNSHIP,PA,LYCOMING COUNTY
HEREFORD TOWNSHIP,PA,BERKS COUNTY
HERMITAGE,PA,MERCER COUNTY
HIGHLAND TOWNSHIP,PA,CHESTER COUNTY
HIGHSPIRE BOROUGH,PA,DAUPHIN COUNTY
HILLTOWN TOWNSHIP,PA,BUCKS COUNTY
HOLLENBACK TOWNSHIP,PA,LUZERNE COUNTY
HOLLIDAYSBURG BOROUGH,PA,BLAIR COUNTY
HOMESTEAD BOROUGH,PA,ALLEGHENY COUNTY
HOMEWOOD BOROUGH,PA,BEAVER COUNTY
HONEY BROOK BOROUGH,PA,CHESTER COUNTY
HONEY BROOK TOWNSHIP,PA,CHESTER COUNTY
HOOKSTOWN BOROUGH,PA,BEAVER COUNTY
HOPEWELL TOWNSHIP,PA,BEAVER COUNTY
HOPEWELL TOWNSHIP,PA,CUMBERLAND COUNTY
HOPEWELL TOWNSHIP,PA,WASHINGTON COUNTY
HOPEWELL TOWNSHIP,PA,YORK COUNTY
HORSHAM TOWNSHIP,PA,MONTGOMERY COUNTY
HOUSTON BOROUGH,PA,WASHINGTON COUNTY
HOVEY TOWNSHIP,PA,ARMSTRONG COUNTY
HOWARD BOROUGH,PA,CENTRE COUNTY
HOWARD TOWNSHIP,PA,CENTRE COUNTY
HOWE TOWNSHIP,PA,PERRY COUNTY
HUGHESTOWN BOROUGH,PA,LUZERNE COUNTY
HUGHESVILLE BOROUGH,PA,LYCOMING COUNTY
HULMEVILLE BOROUGH,PA,BUCKS COUNTY
HUMMELSTOWN BOROUGH,PA,DAUPHIN COUNTY
HUNKER BOROUGH,PA,WESTMORELAND COUNTY
HUSTON TOWNSHIP,PA,BLAIR COUNTY
HUSTON TOWNSHIP,PA,CENTRE COUNTY
HYDE PARK BOROUGH,PA,WESTMORELAND COUNTY
INDEPENDENCE TOWNSHIP,PA,BEAVER COUNTY
INDEPENDENCE TOWNSHIP,PA,WASHINGTON COUNTY
INDIANA TOWNSHIP,PA,ALLEGHENY COUNTY
INDUSTRY BOROUGH,PA,BEAVER COUNTY
INGRAM BOROUGH,PA,ALLEGHENY COUNTY
IRWIN BOROUGH,PA,WESTMORELAND COUNTY
IRWIN TOWNSHIP,PA,WESTMORELAND COUNTY
IVYLAND BOROUGH,PA,BUCKS COUNTY
JACKSON CENTER BOROUGH,PA,MERCER COUNTY
JACKSON TOWNSHIP,PA,BUTLER COUNTY
JACKSON TOWNSHIP,PA,CAMBRIA COUNTY
JACKSON TOWNSHIP,PA,COLUMBIA COUNTY
JACKSON TOWNSHIP,PA,DAUPHIN COUNTY
JACKSON TOWNSHIP,PA,LEBANON COUNTY
JACKSON TOWNSHIP,PA,LUZERNE COUNTY
JACKSON TOWNSHIP,PA,LYCOMING COUNTY
JACKSON TOWNSHIP,PA,MERCER COUNTY
JACKSON TOWNSHIP,PA,MONROE COUNTY
JACKSON TOWNSHIP,PA,PERRY COUNTY
JACKSON TOWNSHIP,PA,YORK COUNTY
JACOBUS BOROUGH,PA,YORK COUNTY
JAMESTOWN BOROUGH,PA,MERCER COUNTY
JEANNETTE,PA,WESTMORELAND COUNTY
JEFFERSON BOROUGH,PA,YORK COUNTY
JEFFERSON HILLS BOROUGH,PA,ALLEGHENY COUNTY
JEFFERSON TOWNSHIP,PA,BERKS COUNTY
JEFFERSON TOWNSHIP,PA,BUTLER COUNTY
JEFFERSON TOWNSHIP,PA,DAUPHIN COUNTY
JEFFERSON TOWNSHIP,PA,LACKAWANNA COUNTY
JEFFERSON TOWNSHIP,PA,MERCER COUNTY
JEFFERSON TOWNSHIP,PA,WASHINGTON COUNTY
JENKINS TOWNSHIP,PA,LUZERNE COUNTY
JENKINTOWN BOROUGH,PA,MONTGOMERY COUNTY
JERMYN BOROUGH,PA,LACKAWANNA COUNTY
JERSEY SHORE BOROUGH,PA,LYCOMING COUNTY
JESSUP BOROUGH,PA,LACKAWANNA COUNTY
JIM THORPE BOROUGH,PA,CARBON COUNTY
JOHNSTOWN,PA,CAMBRIA COUNTY
JONESTOWN BOROUGH,PA,LEBANON COUNTY
JORDAN TOWNSHIP,PA,LYCOMING COUNTY
JUNIATA TOWNSHIP,PA,BLAIR COUNTY
JUNIATA TOWNSHIP,PA,PERRY COUNTY
KARNS CITY BOROUGH,PA,BUTLER COUNTY
KENHORST BOROUGH,PA,BERKS COUNTY
KENNEDY TOWNSHIP,PA,ALLEGHENY COUNTY
KENNETT SQUARE BOROUGH,PA,CHESTER COUNTY
KENNETT TOWNSHIP,PA,CHESTER COUNTY
KIDDER TOWNSHIP,PA,CARBON COUNTY
KILBUCK TOWNSHIP,PA,ALLEGHENY COUNTY
KINGSTON BOROUGH,PA,LUZERNE COUNTY
KINGSTON TOWNSHIP,PA,LUZERNE COUNTY
KISKIMINETAS TOWNSHIP,PA,ARMSTRONG COUNTY
KITTANNING BOROUGH,PA,ARMSTRONG COUNTY
KITTANNING TOWNSHIP,PA,ARMSTRONG COUNTY
KOPPEL BOROUGH,PA,BEAVER COUNTY
KUTZTOWN BOROUGH,PA,BERKS COUNTY
LA PLUME TOWNSHIP,PA,LACKAWANNA COUNTY
LACEYVILLE BOROUGH,PA,WYOMING COUNTY
LACKAWANNOCK TOWNSHIP,PA,MERCER COUNTY
LACKAWAXEN TOWNSHIP,PA,PIKE COUNTY
LAFLIN BOROUGH,PA,LUZERNE COUNTY
LAKE CITY BOROUGH,PA,ERIE COUNTY
LAKE TOWNSHIP,PA,MERCER COUNTY
LANCASTER,PA,LANCASTER COUNTY
LANCASTER TOWNSHIP,PA,BUTLER COUNTY
LANCASTER TOWNSHIP,PA,LANCASTER COUNTY
LANGHORNE BOROUGH,PA,BUCKS COUNTY
LANGHORNE MANOR BOROUGH,PA,BUCKS COUNTY
LANSDALE BOROUGH,PA,MONTGOMERY COUNTY
LANSDOWNE BOROUGH,PA,DELAWARE COUNTY
LANSFORD BOROUGH,PA,CARBON COUNTY
LARKSVILLE BOROUGH,PA,LUZERNE COUNTY
LATROBE BOROUGH,PA,WESTMORELAND COUNTY
LAUREL MOUNTAIN BOROUGH,PA,WESTMORELAND COUNTY
LAUREL RUN BOROUGH,PA,LUZERNE COUNTY
LAURELDALE BOROUGH,PA,BERKS COUNTY
LAUSANNE TOWNSHIP,PA,CARBON COUNTY
LAWRENCE PARK TOWNSHIP,PA,ERIE COUNTY
LEACOCK TOWNSHIP,PA,LANCASTER COUNTY
LEBANON,PA,LEBANON COUNTY
LEBANON COUNTY UNINCORPORATED AREA,PA,LEBANON COUNTY
LEBOEUF TOWNSHIP,PA,ERIE COUNTY
LEECHBURG BOROUGH,PA,ARMSTRONG COUNTY
LEESPORT BOROUGH,PA,BERKS COUNTY
LEET TOWNSHIP,PA,ALLEGHENY COUNTY
LEETSDALE BOROUGH,PA,ALLEGHENY COUNTY
LEHIGH TOWNSHIP,PA,CARBON COUNTY
LEHIGH TOWNSHIP,PA,LACKAWANNA COUNTY
LEHIGH TOWNSHIP,PA,NORTHAMPTON COUNTY
LEHIGHTON BOROUGH,PA,CARBON COUNTY
LEHMAN TOWNSHIP,PA,LUZERNE COUNTY
LEHMAN TOWNSHIP,PA,PIKE COUNTY
LEMON TOWNSHIP,PA,WYOMING COUNTY
LEMOYNE BOROUGH,PA,CUMBERLAND COUNTY
LENHARTSVILLE BOROUGH,PA,BERKS COUNTY
LETTERKENNY TOWNSHIP,PA,FRANKLIN COUNTY
LEWIS TOWNSHIP,PA,LYCOMING COUNTY
LEWISBERRY BOROUGH,PA,YORK COUNTY
LIBERTY BOROUGH,PA,ALLEGHENY COUNTY
LIBERTY TOWNSHIP,PA,CENTRE COUNTY
LIBERTY TOWNSHIP,PA,MERCER COUNTY
LIGONIER BOROUGH,PA,WESTMORELAND COUNTY
LIGONIER TOWNSHIP,PA,WESTMORELAND COUNTY
LILLY BOROUGH,PA,CAMBRIA COUNTY
LIMERICK TOWNSHIP,PA,MONTGOMERY COUNTY
LIMESTONE TOWNSHIP,PA,LYCOMING COUNTY
LIMESTONE TOWNSHIP,PA,MONTOUR COUNTY
LINCOLN BOROUGH,PA,ALLEGHENY COUNTY
LITITZ BOROUGH,PA,LANCASTER COUNTY
LITTLE BRITAIN TOWNSHIP,PA,LANCASTER COUNTY
LIVERPOOL BOROUGH,PA,PERRY COUNTY
LIVERPOOL TOWNSHIP,PA,PERRY COUNTY
LOCUST TOWNSHIP,PA,COLUMBIA COUNTY
LOGAN TOWNSHIP,PA,BLAIR COUNTY
LOGANVILLE BOROUGH,PA,YORK COUNTY
LONDON BRITAIN TOWNSHIP,PA,CHESTER COUNTY
LONDON GROVE TOWNSHIP,PA,CHESTER COUNTY
LONDONDERRY TOWNSHIP,PA,CHESTER COUNTY
LONDONDERRY TOWNSHIP,PA,DAUPHIN COUNTY
LONG BRANCH BOROUGH,PA,WASHINGTON COUNTY
LONGSWAMP TOWNSHIP,PA,BERKS COUNTY
LORAIN BOROUGH,PA,CAMBRIA COUNTY
LORETTO BOROUGH,PA,CAMBRIA COUNTY
LOWER ALLEN TOWNSHIP,PA,CUMBERLAND COUNTY
LOWER ALSACE TOWNSHIP,PA,BERKS COUNTY
LOWER BURRELL,PA,WESTMORELAND COUNTY
LOWER CHANCEFORD TOWNSHIP,PA,YORK COUNTY
LOWER CHICHESTER TOWNSHIP,PA,DELAWARE COUNTY
LOWER FRANKFORD TOWNSHIP,PA,CUMBERLAND COUNTY
LOWER FREDERICK TOWNSHIP,PA,MONTGOMERY COUNTY
LOWER GWYNEDD TOWNSHIP,PA,MONTGOMERY COUNTY
LOWER HEIDELBERG TOWNSHIP,PA,BERKS COUNTY
LOWER MACUNGIE TOWNSHIP,PA,LEHIGH COUNTY
LOWER MAKEFIELD TOWNSHIP,PA,BUCKS COUNTY
LOWER MERION TOWNSHIP,PA,MONTGOMERY COUNTY
LOWER MIFFLIN TOWNSHIP,PA,CUMBERLAND COUNTY
LOWER MILFORD TOWNSHIP,PA,LEHIGH COUNTY
LOWER MORELAND TOWNSHIP,PA,MONTGOMERY COUNTY
LOWER MOUNT BETHEL TOWNSHIP,PA,NORTHAMPTON COUNTY
LOWER NAZARETH TOWNSHIP,PA,NORTHAMPTON COUNTY
LOWER OXFORD TOWNSHIP,PA,CHESTER COUNTY
LOWER PAXTON TOWNSHIP,PA,DAUPHIN COUNTY
LOWER POTTSGROVE TOWNSHIP,PA,MONTGOMERY COUNTY
LOWER PROVIDENCE TOWNSHIP,PA,MONTGOMERY COUNTY
LOWER SALFORD TOWNSHIP,PA,MONTGOMERY COUNTY
LOWER SAUCON TOWNSHIP,PA,NORTHAMPTON COUNTY
LOWER SOUTHAMPTON TOWNSHIP,PA,BUCKS COUNTY
LOWER SWATARA TOWNSHIP,PA,DAUPHIN COUNTY
LOWER TOWAMENSING TOWNSHIP,PA,CARBON COUNTY
LOWER WINDSOR TOWNSHIP,PA,YORK COUNTY
LOWER YODER TOWNSHIP,PA,CAMBRIA COUNTY
LOWHILL TOWNSHIP,PA,LEHIGH COUNTY
LOYALHANNA TOWNSHIP,PA,WESTMORELAND COUNTY
LOYALSOCK TOWNSHIP,PA,LYCOMING COUNTY
LURGAN TOWNSHIP,PA,FRANKLIN COUNTY
LUZERNE COUNTY UNINCORPORATED AREA,PA,LUZERNE COUNTY
LYCOMING COUNTY UNINCORPORATED AREA,PA,LYCOMING COUNTY
LYCOMING TOWNSHIP,PA,LYCOMING COUNTY
LYKENS BOROUGH,PA,DAUPHIN COUNTY
LYKENS TOWNSHIP,PA,DAUPHIN COUNTY
LYNN TOWNSHIP,PA,LEHIGH COUNTY
LYONS BOROUGH,PA,BERKS COUNTY
MACUNGIE BOROUGH,PA,LEHIGH COUNTY
MADISON BOROUGH,PA,WESTMORELAND COUNTY
MADISON TOWNSHIP,PA,ARMSTRONG COUNTY
MADISON TOWNSHIP,PA,COLUMBIA COUNTY
MADISON TOWNSHIP,PA,LACKAWANNA COUNTY
MAHONING TOWNSHIP,PA,ARMSTRONG COUNTY
MAHONING TOWNSHIP,PA,CARBON COUNTY
MAHONING TOWNSHIP,PA,MONTOUR COUNTY
MAIDENCREEK TOWNSHIP,PA,BERKS COUNTY
MAIN TOWNSHIP,PA,COLUMBIA COUNTY
MALVERN BOROUGH,PA,CHESTER COUNTY
MANCHESTER BOROUGH,PA,YORK COUNTY
MANCHESTER TOWNSHIP,PA,YORK COUNTY
MANHEIM BOROUGH,PA,LANCASTER COUNTY
MANHEIM TOWNSHIP,PA,LANCASTER COUNTY
MANHEIM TOWNSHIP,PA,YORK COUNTY
MANOR BOROUGH,PA,WESTMORELAND COUNTY
MANOR TOWNSHIP,PA,ARMSTRONG COUNTY
MANOR TOWNSHIP,PA,LANCASTER COUNTY
MANORVILLE BOROUGH,PA,ARMSTRONG COUNTY
MARCUS HOOK BOROUGH,PA,DELAWARE COUNTY
MARIANNA BOROUGH,PA,WASHINGTON COUNTY
MARIETTA BOROUGH,PA,LANCASTER COUNTY
MARION TOWNSHIP,PA,BEAVER COUNTY
MARION TOWNSHIP,PA,BERKS COUNTY
MARION TOWNSHIP,PA,BUTLER COUNTY
MARION TOWNSHIP,PA,CENTRE COUNTY
MARLBOROUGH TOWNSHIP,PA,MONTGOMERY COUNTY
MARPLE TOWNSHIP,PA,DELAWARE COUNTY
MARS BOROUGH,PA,BUTLER COUNTY
MARSHALL TOWNSHIP,PA,ALLEGHENY COUNTY
MARTIC TOWNSHIP,PA,LANCASTER COUNTY
MARTINSBURG BOROUGH,PA,BLAIR COUNTY
